Rank,Previous Rank,Artist Name,Periods on Chart,Views,Growth
1,1,Alka Yagnik,404,368094052,0.04%
2,3,Udit Narayan,425,272053226,0.05%
3,2,Arijit Singh,434,269226030,0%
4,4,Kumar Sanu,400,205727316,0.01%
5,5,Shreya Ghoshal,406,189285392,-0.01%
6,7,Shilpi Raj,180,183135326,0.15%
7,8,Bad Bunny,399,152027875,0.06%
8,10,Khesari Lal Yadav,319,138674233,0.13%
9,6,Eminem,434,135021047,-0.19%
10,9,Taylor Swift,434,126665162,-0.01%
11,11,Lata Mangeshkar,417,120446427,0.03%
12,14,Anuel AA,317,115128392,0.04%
13,12,Peso Pluma,81,114606440,0%
14,13,The Weeknd,420,112713982,0.01%
15,15,Sonu Nigam,390,103721283,0%
16,17,Pawan Singh,337,97358090,0.06%
17,16,KAROL G,352,96409423,0%
18,28,Ariana Grande,434,92181048,0.25%
19,23,Feid,146,88853409,0.11%
20,24,Billie Eilish,308,87332322,0.09%
21,18,Junior H,173,86500089,0%
22,20,Carin Leon,175,84691553,0%
23,19,Fuerza Regida,118,83201601,-0.03%
24,22,Shakira,434,82723822,0.03%
25,26,Cris Mj,116,79580589,0.05%
26,32,Maluma,434,75964271,0.08%
27,27,Natanael Cano,142,73905662,0%
28,29,Ozuna,405,73046746,0.02%
29,25,Rauw Alejandro,250,71692915,-0.07%
30,30,Grupo Firme,197,71147642,0%
31,31,Myke Towers,267,70877885,0%
32,33,Grupo Frontera,90,70063993,0.01%
33,n/a,Sabrina Carpenter,21,69889104,n/a
34,21,Pritam,164,67421325,-0.18%
35,40,BTS,434,67312486,0.09%
36,39,J Balvin,434,66245459,0.05%
37,35,Romeo Santos,434,63573726,-0.02%
38,37,Daddy Yankee,434,62627621,-0.02%
39,38,Justin Bieber,434,62363758,-0.01%
40,44,Maria Becerra,175,62224511,0.06%
41,34,Kendrick Lamar,224,62075717,-0.05%
42,43,Anuradha Paudwal,360,60951324,0.02%
43,41,Rihanna,434,60738697,0%
44,42,Sidhu Moose Wala,190,60491010,0.01%
45,46,Luis R Conriquez,144,59468971,0.01%
46,45,Ed Sheeran,434,59012091,0.01%
47,49,Jubin Nautiyal,266,58776828,0.06%
48,54,Sunidhi Chauhan,347,58374035,0.1%
49,52,Neha Kakkar,401,57439773,0.06%
50,51,Anirudh Ravichander,184,57354189,0.04%
51,47,Chris Brown,416,57309235,0%
52,48,Lady Gaga,317,56327359,0%
53,58,Kavita Krishnamurthy,279,55742290,0.06%
54,36,aespa,99,55684330,-0.14%
55,50,Farruko,365,55266860,0%
56,99,Ashish Yadav,34,54181911,0.34%
57,57,Kishore Kumar,287,53646532,0.02%
58,59,SP Balasubrahmanyam,231,52840094,0.01%
59,55,Future,358,51602311,-0.03%
60,61,B Praak,243,50993057,0.01%
61,66,Lana Del Rey,185,50902662,0.05%
62,60,BLACKPINK,356,50572972,0%
63,73,Coldplay,434,50171198,0.07%
64,91,Christian Nodal,251,49927039,0.18%
65,86,Khushi Kakkar,18,49847134,0.13%
66,87,Henrique & Juliano,359,49482508,0.14%
67,64,Travis Scott,279,49249036,-0.01%
68,56,MC Ryan SP,137,49151332,-0.07%
69,69,Dua Lipa,358,49037108,0.03%
70,62,Aventura,303,48676638,-0.03%
71,68,David Guetta,421,48505363,0%
72,71,Los Temerarios,259,48298022,0.02%
73,75,Neelkamal Singh,14,48267999,0.04%
74,65,Post Malone,378,48122377,-0.01%
75,67,Arcángel,251,47699914,-0.02%
76,70,Bruno Mars,434,47529530,0%
77,n/a,Shivani Singh,67,47464121,n/a
78,53,NewJeans,98,47431909,-0.12%
79,63,Himesh Reshammiya,257,46561463,-0.07%
80,72,Badshah,363,46353207,-0.02%
81,82,Linkin Park,432,45854652,0.02%
82,81,Doja Cat,215,45649769,0.01%
83,76,Drake,411,45518318,-0.01%
84,80,Imagine Dragons,408,45180717,0%
85,95,FloyyMenor,16,44910694,0.08%
86,84,Alan Walker,404,44413528,0%
87,77,Atif Aslam,331,44213563,-0.04%
88,83,Maroon 5,432,43828171,-0.02%
89,79,Metro Boomin,81,43756933,-0.03%
90,74,Sameer Anjaan,22,43627392,-0.06%
91,92,Vicente Fernández,302,43430078,0.03%
92,94,Nicki Nicole,138,43260620,0.04%
93,100,Los Ángeles Azules,318,43142990,0.07%
94,90,Don Omar,303,43031048,0%
95,98,Karan Aujla,138,42486348,0.04%
96,93,Sadhana Sargam,217,42450731,0.01%
97,85,Diljit Dosanjh,197,42392738,-0.04%
98,89,Sia,419,41985205,-0.03%
99,96,Katy Perry,434,41435350,0%
100,n/a,Asha Bhosle,235,41253345,n/a
