Rank,Previous Rank,Artist Name,Periods on Chart,Views,Growth,Week,Month
1,1,Alka Yagnik,417,390520083,-0.02%,36,9
2,2,Udit Narayan,438,285748213,-0.03%,36,9
3,3,Arijit Singh,447,248662912,-0.05%,36,9
4,4,Kumar Sanu,413,228596648,-0.02%,36,9
5,6,Shilpi Raj,193,169794066,0.04%,36,9
6,5,Shreya Ghoshal,419,158965621,-0.05%,36,9
7,8,Pawan Singh,350,152013920,0.04%,36,9
8,9,Peso Pluma,94,148242933,0.02%,36,9
9,7,Sachin-Jigar,151,147619673,-0.04%,36,9
10,11,KAROL G,365,145605994,0.04%,36,9
11,10,Bad Bunny,412,140009282,-0.02%,36,9
12,13,Khesari Lal Yadav,332,130231261,0.02%,36,9
13,12,Lata Mangeshkar,430,125011159,-0.05%,36,9
14,79,Linkin Park,445,120036298,1.46%,36,9
15,16,The Weeknd,433,115503033,0.05%,36,9
16,14,Sonu Nigam,403,113936117,-0.03%,36,9
17,15,Anuel AA,330,112302058,-0.02%,36,9
18,17,Taylor Swift,447,104142077,-0.04%,36,9
19,18,Eminem,447,96655363,-0.03%,36,9
20,37,Yo Yo Honey Singh,331,93967039,0.30%,36,9
21,24,Lady Gaga,330,93019593,0.09%,36,9
22,26,Bruno Mars,447,91494995,0.10%,36,9
23,19,Billie Eilish,321,90685037,-0.03%,36,9
24,21,Feid,159,90267988,0%,36,9
25,22,Fuerza Regida,131,87526280,-0.01%,36,9
26,25,Junior H,186,84843389,0%,36,9
27,23,Pritam,177,82836716,-0.03%,36,9
28,27,Carin Leon,188,81215199,0%,36,9
29,28,Ozuna,418,77633943,-0.01%,36,9
30,20,Sabrina Carpenter,34,77044662,-0.15%,36,9
31,30,Shakira,447,74678083,-0.02%,36,9
32,35,Romeo Santos,447,73840599,0.01%,36,9
33,32,Rauw Alejandro,263,73836156,-0.02%,36,9
34,29,Cris Mj,129,73514555,-0.04%,36,9
35,38,Ariana Grande,447,72177899,0%,36,9
36,36,J Balvin,447,72018431,0%,36,9
37,33,Natanael Cano,155,71953426,-0.04%,36,9
38,31,Myke Towers,280,70888359,-0.06%,36,9
39,34,Anuradha Paudwal,373,70266848,-0.06%,36,9
40,40,Maluma,447,69474437,0.01%,36,9
41,72,Anirudh Ravichander,197,68136038,0.26%,36,9
42,48,Ashish Yadav,47,67270811,0.08%,36,9
43,39,Divya Kumar,16,66790089,-0.06%,36,9
44,41,Neha Kakkar,414,65128144,-0.02%,36,9
45,44,Daddy Yankee,447,63150403,-0.01%,36,9
46,43,Grupo Firme,210,62588286,-0.02%,36,9
47,52,Grupo Frontera,103,61637862,0.02%,36,9
48,45,Justin Bieber,447,61506497,-0.02%,36,9
49,42,Jubin Nautiyal,279,60975850,-0.05%,36,9
50,51,SP Balasubrahmanyam,244,60645924,-0.01%,36,9
51,47,Sunidhi Chauhan,360,59909484,-0.04%,36,9
52,59,Sameer Anjaan,35,58951751,0.02%,36,9
53,61,Maria Becerra,188,58936935,0.03%,36,9
54,55,Rihanna,447,58899296,-0.01%,36,9
55,54,Farruko,378,58882600,-0.01%,36,9
56,49,Himesh Reshammiya,270,58263544,-0.06%,36,9
57,46,Amitabh Bhattacharya,70,58198033,-0.07%,36,9
58,56,Ed Sheeran,447,57739466,-0.03%,36,9
59,50,Kavita Krishnamurthy,292,56614584,-0.08%,36,9
60,70,Shivani Singh,80,56405826,0.03%,36,9
61,62,Chris Brown,429,56364582,-0.01%,36,9
62,57,Karan Aujla,151,56034765,-0.06%,36,9
63,64,BTS,447,55955877,-0.01%,36,9
64,60,Post Malone,391,54830463,-0.05%,36,9
65,58,Madhubanti Bagchi,7,54742912,-0.08%,36,9
66,69,Atif Aslam,344,54573991,0%,36,9
67,65,Kishore Kumar,300,54321435,-0.03%,36,9
68,93,Tito Double P,13,54307078,0.19%,36,9
69,66,Shilpa Rao,88,54180715,-0.03%,36,9
70,74,Coldplay,447,54111176,0%,36,9
71,68,Henrique & Juliano,372,54096574,-0.03%,36,9
72,67,Luis R Conriquez,157,53682926,-0.04%,36,9
73,63,MC Ryan SP,150,53347578,-0.06%,36,9
74,73,Adele,350,53290682,-0.02%,36,9
75,71,Travis Scott,292,52790913,-0.03%,36,9
76,76,Kendrick Lamar,237,50702998,-0.01%,36,9
77,75,Lana Del Rey,198,49419421,-0.05%,36,9
78,86,Blessd,150,49389890,0.03%,36,9
79,77,BLACKPINK,369,48768428,-0.04%,36,9
80,87,Aventura,316,48744634,0.02%,36,9
81,83,David Guetta,434,48566578,0%,36,9
82,78,Stray Kids,190,48459809,-0.03%,36,9
83,53,Sidhu Moose Wala,203,48453584,-0.20%,36,9
84,84,Vicente Fernández,315,48243231,-0.01%,36,9
85,81,Maroon 5,445,48065830,-0.01%,36,9
86,85,Don Omar,316,47638018,-0.01%,36,9
87,80,Los Temerarios,272,47556742,-0.03%,36,9
88,89,Asha Bhosle,248,46485251,0%,36,9
89,95,Doja Cat,228,45806560,0.01%,36,9
90,82,A. R. Rahman,195,45541039,-0.06%,36,9
91,n/a,Vishal Dadlani,208,45408989,n/a,36,9
92,100,Imagine Dragons,421,45365661,0.02%,36,9
93,91,Michael Jackson,447,45132736,-0.02%,36,9
94,99,Los Ángeles Azules,331,44791641,0%,36,9
95,96,Diljit Dosanjh,210,44679967,-0.01%,36,9
96,n/a,Arcángel,264,44399068,n/a,36,9
97,n/a,Alan Walker,417,44192301,n/a,36,9
98,98,Badshah,376,44102649,-0.02%,36,9
99,92,Sadhana Sargam,230,43885352,-0.04%,36,9
100,90,KK,166,43657033,-0.05%,36,9
