Rank,Previous Rank,Artist Name,Periods on Chart,Views,Growth
1,1,Alka Yagnik,383,338752564,0%
2,2,Arijit Singh,413,276330699,-0.04%
3,3,Udit Narayan,404,258976955,0.02%
4,4,Kumar Sanu,379,194818723,-0.05%
5,5,Peso Pluma,60,178648540,0.01%
6,8,Shreya Ghoshal,385,153754525,0.06%
7,7,Bad Bunny,378,150373293,-0.02%
8,6,Shilpi Raj,159,143203064,-0.08%
9,10,The Weeknd,399,126191197,0.02%
10,9,Taylor Swift,413,125988888,-0.03%
11,11,KAROL G,331,124303460,0.01%
12,12,Lata Mangeshkar,396,120739645,0%
13,13,Pawan Singh,316,105004770,-0.12%
14,15,Xavi,11,100309808,0.05%
15,24,Feid,125,98594629,0.23%
16,40,Ariana Grande,413,97974203,0.62%
17,14,Khesari Lal Yadav,298,97152697,-0.13%
18,17,Fuerza Regida,97,96629030,0.02%
19,16,Sonu Nigam,369,96609623,0.01%
20,19,Junior H,152,90156682,-0.01%
21,18,Carin Leon,154,89677347,-0.05%
22,20,Eminem,413,88610152,-0.01%
23,23,Shakira,413,84777674,0.02%
24,21,Anuel AA,296,83732473,-0.02%
25,22,Grupo Frontera,69,82874056,-0.02%
26,53,Pritam,143,80296448,0.5%
27,26,Maluma,413,67420454,-0.01%
28,32,Ed Sheeran,413,65935497,0.03%
29,25,Jubin Nautiyal,245,65547594,-0.06%
30,27,Myke Towers,246,65365774,-0.01%
31,37,Anirudh Ravichander,163,64987206,0.06%
32,30,Ozuna,384,64622868,-0.01%
33,39,Grupo Firme,176,64121374,0.06%
34,34,BTS,413,63543191,0.03%
35,79,Bizarrap,173,63245482,0.39%
36,28,Maria Becerra,154,63211488,-0.04%
37,31,Justin Bieber,413,62035763,-0.04%
38,33,Natanael Cano,121,61963331,-0.01%
39,29,Neelkamal Singh,95,60573699,-0.07%
40,35,Drake,390,59576039,-0.03%
41,36,Neha Kakkar,380,59081981,-0.04%
42,38,Anitta,303,58615364,-0.04%
43,42,Rihanna,413,58501091,-0.02%
44,44,B Praak,222,58083341,0%
45,48,Daddy Yankee,413,57849641,0.03%
46,45,Anuradha Paudwal,339,57693056,0%
47,54,Vishal Mishra,49,56678055,0.06%
48,41,MC Ryan SP,116,56324067,-0.07%
49,43,Sunidhi Chauhan,326,56069468,-0.04%
50,46,Rauw Alejandro,229,56010217,-0.03%
51,50,Doja Cat,194,55655362,0.02%
52,58,Romeo Santos,413,55241675,0.06%
53,52,J Balvin,413,53719082,-0.01%
54,68,Dua Lipa,337,52160511,0.1%
55,61,Lady Gaga,296,51902814,0.02%
56,60,Farruko,344,51468283,0%
57,56,BLACKPINK,335,51359482,-0.02%
58,59,Coldplay,413,51166164,-0.01%
59,47,Shivani Singh,46,50676722,-0.11%
60,51,Ana Castela,80,50543909,-0.07%
61,65,Shilpa Rao,54,50540801,0.04%
62,63,Henrique & Juliano,338,50156158,0.01%
63,64,Imagine Dragons,387,50062670,0.02%
64,n/a,Nicki Nicole,117,49729348,n/a
65,62,Chris Brown,395,49164070,-0.01%
66,55,S. P. Balasubrahmanyam,210,49147464,-0.07%
67,73,Shubh,67,49100307,0.06%
68,69,Kavita Krishnamurthy,258,48675716,0.03%
69,49,Vishal Dadlani,174,48651947,-0.11%
70,67,Bruno Mars,413,48508434,0.02%
71,74,Alan Walker,383,48121528,0.04%
72,57,Jere Klein,49,47733835,-0.09%
73,78,Billie Eilish,287,46728804,0.02%
74,70,Arcángel,230,46599158,-0.01%
75,77,Sidhu,169,46174220,0%
76,n/a,Young Miko,42,45676826,n/a
77,66,Travis Scott,258,45530192,-0.05%
78,80,Sia,398,45341024,0.01%
79,72,Jung Kook,41,45300569,-0.03%
80,76,Adele,316,45084772,-0.02%
81,83,Lana Del Rey,164,44836605,0.03%
82,71,Kishore Kumar,266,44315218,-0.05%
83,82,Post Malone,357,43862362,-0.01%
84,81,Katy Perry,413,43435299,-0.02%
85,84,Stray Kids,156,43309319,0%
86,n/a,21 Savage,73,42827771,n/a
87,75,MC PH,19,42214741,-0.09%
88,93,Himesh Reshammiya,236,41674370,0.04%
89,85,David Guetta,400,40749619,-0.04%
90,95,Linkin Park,411,40576999,0.02%
91,86,Marshmello,380,40407968,-0.04%
92,92,Michael Jackson,413,40200403,0%
93,87,YOASOBI,132,39928622,-0.05%
94,89,Gabito Ballesteros,43,39629179,-0.04%
95,88,Yo Yo Honey Singh,297,39357314,-0.05%
96,n/a,YoungBoy Never Broke Again,332,39302135,n/a
97,99,Gusttavo Lima,285,38888100,0%
98,n/a,Tiago PZK,143,38875894,n/a
99,98,Atif Aslam,310,38603340,-0.02%
100,96,Mohammed Rafi,221,38573873,-0.03%
