Rank,Previous Rank,Artist Name,Periods on Chart,Views,Growth,Week,Month
1,1,Alka Yagnik,402,359329248,-0.06%,21,5
2,2,Arijit Singh,432,277678160,-0.09%,21,5
3,3,Udit Narayan,423,266062216,-0.06%,21,5
4,4,Kumar Sanu,398,203144457,-0.06%,21,5
5,5,Shilpi Raj,178,171465685,0.02%,21,5
6,6,Shreya Ghoshal,404,170462467,0.03%,21,5
7,8,Bad Bunny,397,141806291,-0.01%,21,5
8,7,Khesari Lal Yadav,317,136096534,-0.08%,21,5
9,9,Taylor Swift,432,126747503,-0.08%,21,5
10,12,Lata Mangeshkar,415,120297113,0.01%,21,5
11,11,Peso Pluma,79,117174006,-0.02%,21,5
12,13,The Weeknd,418,113706173,0%,21,5
13,14,Anuel AA,315,110377965,-0.03%,21,5
14,15,Sonu Nigam,388,102902339,-0.05%,21,5
15,16,Pawan Singh,335,98975171,-0.02%,21,5
16,17,KAROL G,350,95285176,-0.05%,21,5
17,18,Fuerza Regida,116,87954301,-0.01%,21,5
18,10,Billie Eilish,306,84511600,-0.31%,21,5
19,21,Eminem,432,81888890,-0.01%,21,5
20,19,Junior H,171,80245140,-0.04%,21,5
21,25,Shakira,432,79667650,0%,21,5
22,20,Natanael Cano,140,78118747,-0.06%,21,5
23,26,Rauw Alejandro,248,77519270,0%,21,5
24,22,Feid,144,77417663,-0.06%,21,5
25,33,Cris Mj,114,76022668,0.12%,21,5
26,27,Ariana Grande,432,74392451,-0.02%,21,5
27,28,Carin Leon,173,74381737,0.01%,21,5
28,24,Pritam,162,72877378,-0.10%,21,5
29,63,aespa,97,71488727,0.40%,21,5
30,29,Ozuna,403,70854846,0%,21,5
31,23,Kendrick Lamar,222,70143240,-0.13%,21,5
32,32,Myke Towers,265,69731448,0.03%,21,5
33,n/a,NewJeans,96,69382736,n/a,21,5
34,30,Grupo Frontera,88,68996390,-0.01%,21,5
35,34,Justin Bieber,432,64340664,0%,21,5
36,44,Romeo Santos,432,63951752,0.09%,21,5
37,36,Daddy Yankee,432,63235810,0.02%,21,5
38,37,Maluma,432,62834564,0.01%,21,5
39,40,J Balvin,432,62447848,0.03%,21,5
40,45,Grupo Firme,195,61953261,0.05%,21,5
41,39,Rihanna,432,60866474,0%,21,5
42,41,Anuradha Paudwal,358,60809324,0.01%,21,5
43,38,Luis R Conriquez,142,60585274,-0.01%,21,5
44,35,BTS,432,60043695,-0.06%,21,5
45,42,Ed Sheeran,432,59278794,-0.01%,21,5
46,31,Anirudh Ravichander,182,58641134,-0.15%,21,5
47,50,Jubin Nautiyal,264,56674790,-0.01%,21,5
48,47,Maria Becerra,173,56647107,-0.04%,21,5
49,61,Sidhu Moose Wala,188,55632935,0.06%,21,5
50,59,Chris Brown,414,55452861,0.04%,21,5
51,55,Sunidhi Chauhan,345,55423919,0.02%,21,5
52,43,MC Ryan SP,135,55223823,-0.07%,21,5
53,53,Neha Kakkar,399,55135376,-0.01%,21,5
54,57,Lady Gaga,315,55059627,0.03%,21,5
55,58,Farruko,363,54862526,0.02%,21,5
56,49,Future,356,54773116,-0.04%,21,5
57,54,SP Balasubrahmanyam,229,54148386,-0.01%,21,5
58,77,Aventura,301,54088321,0.17%,21,5
59,56,Kishore Kumar,285,54026090,0.01%,21,5
60,52,Kavita Krishnamurthy,277,53573511,-0.05%,21,5
61,62,Travis Scott,277,51789160,0%,21,5
62,46,Sameer Anjaan,20,51379374,-0.13%,21,5
63,48,Neelkamal Singh,12,51075794,-0.11%,21,5
64,65,BLACKPINK,354,50156436,-0.01%,21,5
65,66,Bruno Mars,432,50004517,0%,21,5
66,70,B Praak,241,49874291,0.02%,21,5
67,60,Khushi Kakkar,16,49365923,-0.06%,21,5
68,74,David Guetta,419,49207469,0.04%,21,5
69,64,Post Malone,376,49171823,-0.04%,21,5
70,67,Dua Lipa,356,48660813,-0.02%,21,5
71,69,Drake,409,48400988,-0.02%,21,5
72,51,Himesh Reshammiya,255,48077979,-0.15%,21,5
73,71,Lana Del Rey,183,47602685,-0.01%,21,5
74,78,Arcángel,249,47253469,0.03%,21,5
75,75,Los Temerarios,257,47218846,0%,21,5
76,n/a,Gabito Ballesteros,62,47087604,n/a,21,5
77,85,Imagine Dragons,406,47018913,0.07%,21,5
78,68,Metro Boomin,79,46713851,-0.05%,21,5
79,79,Henrique & Juliano,357,46699032,0.03%,21,5
80,76,Coldplay,432,46255997,0%,21,5
81,83,Badshah,361,46043550,0.04%,21,5
82,87,Maroon 5,430,45595994,0.05%,21,5
83,80,Doja Cat,213,44571093,-0.01%,21,5
84,81,Alan Walker,402,44110525,-0.01%,21,5
85,82,Linkin Park,430,43850239,-0.01%,21,5
86,90,Diljit Dosanjh,195,43676988,0.05%,21,5
87,73,Atif Aslam,329,43472588,-0.09%,21,5
88,72,Shivani Singh,65,43271472,-0.10%,21,5
89,88,Vicente Fernández,300,42869584,0.01%,21,5
90,93,Karan Aujla,136,42844508,0.04%,21,5
91,84,Sadhana Sargam,215,42840865,-0.03%,21,5
92,89,Sia,417,42778768,0.02%,21,5
93,86,Ashish Yadav,32,42242665,-0.03%,21,5
94,n/a,Twenty One Pilots,367,41989756,n/a,21,5
95,95,Christian Nodal,249,41984341,0.02%,21,5
96,91,KK,151,41723580,0.01%,21,5
97,n/a,Katy Perry,432,41276518,n/a,21,5
98,98,Don Omar,301,40922648,0.01%,21,5
99,94,Adele,335,40810210,-0.01%,21,5
100,n/a,Lil Baby,270,40395126,n/a,21,5
