Rank,Previous Rank,Artist Name,Periods on Chart,Views,Growth,Week,Month
1,1,Alka Yagnik,391,353081936,-0.07%,10,3
2,2,Udit Narayan,412,264844725,-0.05%,10,3
3,3,Arijit Singh,421,246430862,-0.09%,10,3
4,4,Kumar Sanu,387,208194529,-0.09%,10,3
5,5,Shilpi Raj,167,193170878,-0.06%,10,3
6,8,Bad Bunny,386,152072142,0.05%,10,3
7,6,Khesari Lal Yadav,306,150137207,-0.02%,10,3
8,7,Shreya Ghoshal,393,143580960,-0.03%,10,3
9,10,Taylor Swift,421,140900068,0.01%,10,3
10,9,Peso Pluma,68,139898201,-0.03%,10,3
11,13,KAROL G,339,127988660,-0.02%,10,3
12,12,The Weeknd,407,127402599,-0.02%,10,3
13,11,Lata Mangeshkar,404,125748224,-0.08%,10,3
14,39,Ariana Grande,421,119450332,0.93%,10,3
15,14,Pawan Singh,324,106750871,-0.09%,10,3
16,15,Sonu Nigam,377,105232334,-0.09%,10,3
17,16,Fuerza Regida,105,93133422,0.02%,10,3
18,17,Anuel AA,304,91269306,0.01%,10,3
19,18,Junior H,160,85706694,0%,10,3
20,21,Feid,133,83856865,0.04%,10,3
21,19,Eminem,421,83843082,-0.02%,10,3
22,20,Shakira,421,81474844,0%,10,3
23,23,Carin Leon,162,77366062,-0.01%,10,3
24,22,Pritam,151,75121254,-0.07%,10,3
25,30,Grupo Frontera,77,74445448,0.12%,10,3
26,24,Ozuna,392,72101121,0.01%,10,3
27,28,Ed Sheeran,421,71857101,0.05%,10,3
28,26,Myke Towers,254,71227302,0%,10,3
29,25,Rihanna,421,68179026,-0.04%,10,3
30,27,Justin Bieber,421,67620817,-0.04%,10,3
31,46,Natanael Cano,129,66343490,0.13%,10,3
32,36,Maluma,421,63826252,0.01%,10,3
33,35,BTS,421,63561764,0%,10,3
34,29,Anuradha Paudwal,347,62909733,-0.06%,10,3
35,59,Grupo Firme,184,62815540,0.18%,10,3
36,32,Maria Becerra,162,62667744,-0.05%,10,3
37,34,Daddy Yankee,421,62622046,-0.02%,10,3
38,38,Rauw Alejandro,237,62323350,0%,10,3
39,41,Romeo Santos,421,61260957,-0.01%,10,3
40,31,Xavi,19,60787483,-0.08%,10,3
41,33,S. P. Balasubrahmanyam,218,60662190,-0.07%,10,3
42,44,J Balvin,421,59256649,-0.03%,10,3
43,62,Cris Mj,103,58454021,0.13%,10,3
44,42,Jubin Nautiyal,253,58344477,-0.05%,10,3
45,70,MC Ryan SP,124,58313988,0.18%,10,3
46,52,Lady Gaga,304,55057765,-0.01%,10,3
47,72,LE SSERAFIM,75,55032633,0.14%,10,3
48,50,Farruko,352,54817827,-0.02%,10,3
49,40,Asees Kaur,199,54463308,-0.12%,10,3
50,48,Drake,398,54445789,-0.04%,10,3
51,57,Coldplay,421,54304842,0.01%,10,3
52,43,Tanishk Bagchi,183,53936247,-0.12%,10,3
53,45,Kavita Krishnamurthy,266,53807069,-0.11%,10,3
54,49,Nicki Nicole,125,53752142,-0.05%,10,3
55,55,Chris Brown,403,52955271,-0.02%,10,3
56,60,Dua Lipa,345,52119649,-0.02%,10,3
57,76,Los Temerarios,246,51420455,0.09%,10,3
58,47,Sunidhi Chauhan,334,50584434,-0.11%,10,3
59,56,Anirudh Ravichander,171,50439574,-0.07%,10,3
60,n/a,Diljit Dosanjh,184,50231650,n/a,10,3
61,58,B Praak,230,49068225,-0.09%,10,3
62,61,Shivani Singh,54,48743510,-0.08%,10,3
63,78,Ana Castela,88,48533903,0.04%,10,3
64,68,BLACKPINK,343,48512276,-0.03%,10,3
65,51,Neha Kakkar,388,48014593,-0.14%,10,3
66,74,Arcángel,238,47771197,0%,10,3
67,66,Sidhu,177,47575096,-0.05%,10,3
68,95,Billie Eilish,295,47174616,0.09%,10,3
69,n/a,Christian Nodal,238,47008157,n/a,10,3
70,71,Doja Cat,202,46963482,-0.04%,10,3
71,53,Sameer Anjaan,9,46934941,-0.15%,10,3
72,65,Alan Walker,391,46774801,-0.08%,10,3
73,75,Aventura,290,46643074,-0.02%,10,3
74,77,Bruno Mars,421,46585690,-0.01%,10,3
75,n/a,Creepy Nuts,8,46167976,n/a,10,3
76,54,Vishal Mishra,57,46060865,-0.16%,10,3
77,63,Kishore Kumar,274,45860348,-0.11%,10,3
78,73,Beyoncé,420,45824784,-0.05%,10,3
79,69,Vishal Dadlani,182,45120470,-0.09%,10,3
80,81,Adele,324,44798555,-0.02%,10,3
81,80,Travis Scott,266,44780899,-0.02%,10,3
82,99,Vicente Fernández,289,44513432,0.04%,10,3
83,83,Tiago PZK,151,44434953,-0.01%,10,3
84,85,David Guetta,408,44140627,-0.01%,10,3
85,64,Himesh Reshammiya,244,44133833,-0.14%,10,3
86,87,Imagine Dragons,395,43802429,-0.01%,10,3
87,79,Linkin Park,419,43658153,-0.05%,10,3
88,84,Don Omar,290,43300039,-0.03%,10,3
89,88,Post Malone,365,43133142,-0.02%,10,3
90,n/a,MC PH,27,43040695,n/a,10,3
91,100,Maroon 5,419,42713593,0%,10,3
92,96,Katy Perry,421,42635389,-0.02%,10,3
93,n/a,Henrique & Juliano,346,42579317,n/a,10,3
94,82,Bizarrap,181,42268469,-0.07%,10,3
95,89,Lana Del Rey,172,42114656,-0.04%,10,3
96,94,Anitta,311,42086911,-0.03%,10,3
97,n/a,Michael Jackson,421,41812174,n/a,10,3
98,n/a,Ashish Yadav,5,41506891,n/a,10,3
99,98,Sia,406,41487094,-0.03%,10,3
100,86,Atif Aslam,318,41412230,-0.07%,10,3
