Rank,Previous Rank,Artist Name,Periods on Chart,Views,Growth,Week,Month
40,34,Linkin Park,453,73706476,-0.09%,44,11
41,42,Romeo Santos,455,72618926,-0.03%,44,11
42,37,Cris Mj,137,72387713,-0.06%,44,11
43,43,Ariana Grande,455,70912004,-0.04%,44,11
44,45,Justin Bieber,455,70910431,-0.02%,44,11
45,44,Rauw Alejandro,271,70869402,-0.03%,44,11
46,49,J Balvin,455,70216590,-0.01%,44,11
47,47,Shivani Singh,88,69386508,-0.04%,44,11
48,46,Carin Leon,196,68180375,-0.05%,44,11
49,54,Diljit Dosanjh,218,68112721,-0.01%,44,11
50,39,Shilpa Rao,96,67586089,-0.11%,44,11
51,51,Madhubanti Bagchi,15,67287476,-0.03%,44,11
52,48,Neha Kakkar,422,66975806,-0.06%,44,11
53,65,Henrique & Juliano,380,65899334,0.05%,44,11
54,62,Luis R Conriquez,165,65702473,0.02%,44,11
55,53,SP Balasubrahmanyam,252,64260210,-0.07%,44,11
56,52,Himesh Reshammiya,278,63958118,-0.07%,44,11
57,60,Grupo Frontera,111,63770195,-0.03%,44,11
58,55,Sabrina Carpenter,42,63722176,-0.07%,44,11
59,80,MC Tuto,27,62272945,0.12%,44,11
60,63,Daddy Yankee,455,62185737,-0.03%,44,11
61,50,Jubin Nautiyal,287,61781636,-0.13%,44,11
62,57,Kavita Krishnamurthy,300,61494901,-0.09%,44,11
63,66,Farruko,386,61070448,-0.02%,44,11
64,68,Grupo Firme,218,60675375,-0.02%,44,11
65,56,Sameer Anjaan,43,60229883,-0.12%,44,11
66,59,Michael Jackson,455,59927748,-0.09%,44,11
67,n/a,Duki,192,59086948,n/a,44,11
68,69,Rihanna,455,57570423,-0.05%,44,11
69,64,Kishore Kumar,308,57566496,-0.09%,44,11
70,67,Atif Aslam,352,57226081,-0.08%,44,11
71,72,BTS,455,56327716,-0.05%,44,11
72,77,Ed Sheeran,455,55683002,-0.03%,44,11
73,78,Maria Becerra,196,55574228,-0.02%,44,11
74,76,Masoom Sharma,106,55554119,-0.03%,44,11
75,74,Coldplay,455,55527227,-0.05%,44,11
76,75,Chris Brown,437,55463175,-0.04%,44,11
77,82,Julión Álvarez y su Norteño Banda,51,55418813,0.02%,44,11
78,73,Ashish Yadav,55,55398913,-0.06%,44,11
79,79,Aventura,324,54769844,-0.04%,44,11
80,71,Karan Aujla,159,53269422,-0.11%,44,11
81,70,aespa,120,51764647,-0.13%,44,11
82,100,Vicente Fernández,323,51594744,0.06%,44,11
83,87,Blessd,158,50971189,-0.03%,44,11
84,91,MC Ryan SP,158,50538021,-0.01%,44,11
85,83,Travis Scott,300,50345315,-0.08%,44,11
86,94,Maroon 5,453,50185465,0%,44,11
87,84,Sidhu Moose Wala,211,49031099,-0.10%,44,11
88,86,Sadhana Sargam,238,49009169,-0.08%,44,11
89,93,Post Malone,399,48895375,-0.02%,44,11
90,85,A. R. Rahman,203,48852957,-0.09%,44,11
91,95,Don Omar,324,48650880,-0.02%,44,11
92,99,Future,379,48602570,-0.01%,44,11
93,89,BLACKPINK,377,48436674,-0.07%,44,11
94,98,Adele,358,48342371,-0.02%,44,11
95,81,Asha Bhosle,256,48323982,-0.12%,44,11
96,97,KK,174,47656906,-0.04%,44,11
97,90,Abhijeet Bhattacharya,226,47495138,-0.08%,44,11
98,n/a,Los Temerarios,280,47411750,n/a,44,11
99,61,Tyler The Creator,14,47315120,-0.27%,44,11
100,n/a,Arcángel,272,46170428,n/a,44,11
