Rank,Previous Rank,Artist Name,Periods on Chart,Views,Growth,Week,Month
1,1,Alka Yagnik,425,427726895,-0.12%,44,11
2,2,Udit Narayan,446,317982151,-0.11%,44,11
3,4,Arijit Singh,455,259449820,-0.08%,44,11
4,3,Kumar Sanu,421,248783538,-0.13%,44,11
5,5,Bruno Mars,455,230001340,-0.14%,44,11
6,6,Shreya Ghoshal,427,184278854,-0.08%,44,11
7,7,Shilpi Raj,201,174677598,-0.06%,44,11
8,9,Sachin-Jigar,159,148041020,-0.06%,44,11
9,8,Pawan Singh,358,147946018,-0.07%,44,11
10,10,Peso Pluma,102,144594174,-0.03%,44,11
11,11,Khesari Lal Yadav,340,143047779,-0.04%,44,11
12,16,Fuerza Regida,139,142866006,0.01%,44,11
13,15,Bad Bunny,420,137561686,-0.04%,44,11
14,12,Sonu Nigam,411,137182831,-0.07%,44,11
15,13,Lata Mangeshkar,438,131682671,-0.10%,44,11
16,17,Lady Gaga,338,127138558,-0.03%,44,11
17,18,KAROL G,373,123700285,-0.02%,44,11
18,19,The Weeknd,441,123135993,-0.01%,44,11
19,14,ROSÉ,11,114344545,-0.21%,44,11
20,20,Eminem,455,111077335,-0.05%,44,11
21,21,Divya Kumar,24,110915077,-0.04%,44,11
22,22,Anuel AA,338,110772204,0%,44,11
23,24,Billie Eilish,329,100102828,-0.03%,44,11
24,28,Tito Double P,21,99389565,0.04%,44,11
25,25,Taylor Swift,455,97189188,-0.04%,44,11
26,23,Shakira,455,95440852,-0.08%,44,11
27,26,Pritam,185,94489873,-0.05%,44,11
28,27,Anirudh Ravichander,205,94004411,-0.05%,44,11
29,29,Óscar Maydon,57,91166267,-0.01%,44,11
30,31,Junior H,194,85160947,-0.06%,44,11
31,41,Myke Towers,288,79820123,0.07%,44,11
32,n/a,BABYMONSTER,39,79594996,n/a,44,11
33,30,Anuradha Paudwal,381,79174379,-0.13%,44,11
34,40,Maluma,455,78578929,0.03%,44,11
35,35,Ozuna,426,78026066,-0.02%,44,11
36,38,Feid,167,75509480,-0.01%,44,11
37,36,Natanael Cano,163,75412041,-0.05%,44,11
38,32,Yo Yo Honey Singh,339,74834887,-0.10%,44,11
39,33,Sunidhi Chauhan,368,73737102,-0.10%,44,11
