Rank,Previous Rank,Artist Name,Periods on Chart,Views,Growth,Week,Month
1,1,Alka Yagnik,414,388220082,-0.03%,33,8
2,2,Udit Narayan,435,297308188,-0.12%,33,8
3,3,Arijit Singh,444,265662001,-0.05%,33,8
4,4,Kumar Sanu,410,228328693,-0.01%,33,8
5,5,Shreya Ghoshal,416,168744555,0%,33,8
6,8,Shilpi Raj,190,153599774,0.06%,33,8
7,7,Bad Bunny,409,145869506,-0.02%,33,8
8,6,KAROL G,362,145810151,-0.05%,33,8
9,9,Peso Pluma,91,143216478,-0.01%,33,8
10,10,Lata Mangeshkar,427,132640873,-0.05%,33,8
11,14,Taylor Swift,444,125441927,0.07%,33,8
12,17,Pawan Singh,347,124480365,0.16%,33,8
13,12,Khesari Lal Yadav,329,119958051,0.02%,33,8
14,19,Sachin-Jigar,148,119667763,0.27%,33,8
15,11,Sonu Nigam,400,116525919,-0.08%,33,8
16,13,Anuel AA,327,114134264,-0.03%,33,8
17,15,The Weeknd,430,108500611,0%,33,8
18,16,Eminem,444,105763293,-0.02%,33,8
19,18,Billie Eilish,318,98984044,0.02%,33,8
20,20,Fuerza Regida,128,90539449,0.02%,33,8
21,21,Pritam,174,85479899,-0.03%,33,8
22,22,Feid,156,83657170,-0.03%,33,8
23,26,Junior H,183,82531794,0.01%,33,8
24,23,Carin Leon,185,82519577,-0.02%,33,8
25,63,Lady Gaga,327,81568813,0.49%,33,8
26,24,Cris Mj,126,79457709,-0.04%,33,8
27,25,Ozuna,415,79227947,-0.04%,33,8
28,27,Shakira,444,77640294,-0.02%,33,8
29,30,Rauw Alejandro,260,75211491,0.01%,33,8
30,89,Bruno Mars,444,74725376,0.59%,33,8
31,29,Romeo Santos,444,74379938,-0.01%,33,8
32,28,J Balvin,444,73259417,-0.06%,33,8
33,33,Anuradha Paudwal,370,71896359,0.01%,33,8
34,35,Ariana Grande,444,71747144,0.02%,33,8
35,76,Post Malone,388,70725038,0.43%,33,8
36,n/a,LISA,64,70703702,n/a,33,8
37,34,Maluma,444,69911161,-0.02%,33,8
38,36,Myke Towers,277,69715858,0%,33,8
39,31,Karan Aujla,148,69124560,-0.05%,33,8
40,39,Natanael Cano,152,66451835,-0.01%,33,8
41,37,Grupo Firme,207,66162842,-0.04%,33,8
42,38,Jubin Nautiyal,276,63400005,-0.06%,33,8
43,40,Daddy Yankee,444,62826562,-0.03%,33,8
44,41,Grupo Frontera,100,62349006,-0.03%,33,8
45,46,Neha Kakkar,411,61628805,0.01%,33,8
46,43,SP Balasubrahmanyam,241,61203977,-0.01%,33,8
47,32,Kavita Krishnamurthy,289,60598652,-0.15%,33,8
48,44,Farruko,375,60489598,-0.02%,33,8
49,49,Justin Bieber,444,60133978,0.01%,33,8
50,52,Himesh Reshammiya,267,59710265,0.02%,33,8
51,47,Sunidhi Chauhan,357,58690704,-0.04%,33,8
52,45,Maria Becerra,185,58549271,-0.05%,33,8
53,74,Henrique & Juliano,369,58525617,0.18%,33,8
54,55,Rihanna,444,58397707,0.02%,33,8
55,51,Chris Brown,426,58168247,-0.01%,33,8
56,58,MC Ryan SP,147,57902967,0.04%,33,8
57,42,Sameer Anjaan,32,57800704,-0.07%,33,8
58,54,Ed Sheeran,444,57548657,0%,33,8
59,75,Sadhana Sargam,227,56186685,0.13%,33,8
60,64,Luis R Conriquez,154,55818807,0.02%,33,8
61,60,BTS,444,55601883,0%,33,8
62,80,Ashish Yadav,44,55590245,0.14%,33,8
63,50,Kendrick Lamar,234,55463796,-0.06%,33,8
64,n/a,Divya Kumar,13,55184148,n/a,33,8
65,56,Anirudh Ravichander,194,54240649,-0.04%,33,8
66,65,BLACKPINK,366,53352938,-0.01%,33,8
67,48,A. R. Rahman,192,52956303,-0.12%,33,8
68,68,Kishore Kumar,297,52898372,0.02%,33,8
69,59,Stray Kids,187,52487862,-0.06%,33,8
70,69,Lana Del Rey,195,52476701,0.01%,33,8
71,70,Atif Aslam,341,52283504,0.02%,33,8
72,77,Adele,347,52123153,0.06%,33,8
73,66,Shilpa Rao,85,52096212,-0.03%,33,8
74,62,Travis Scott,289,51977846,-0.05%,33,8
75,95,Amitabh Bhattacharya,67,51647179,0.13%,33,8
76,96,Shivani Singh,77,50803028,0.12%,33,8
77,57,Blessd,147,50727022,-0.10%,33,8
78,71,Sabrina Carpenter,31,50618441,0%,33,8
79,72,Coldplay,444,50577451,0.01%,33,8
80,73,Sidhu Moose Wala,200,50389197,0.01%,33,8
81,67,David Guetta,431,50182749,-0.04%,33,8
82,53,B Praak,253,49087059,-0.16%,33,8
83,86,Aventura,313,48691242,0.02%,33,8
84,81,Vicente Fernández,312,48344760,0%,33,8
85,82,Don Omar,313,48026287,0%,33,8
86,85,Future,368,48015108,0%,33,8
87,84,Los Temerarios,269,47638183,-0.01%,33,8
88,90,Maroon 5,442,46912260,0%,33,8
89,78,Diljit Dosanjh,207,46910345,-0.04%,33,8
90,87,Linkin Park,442,46710527,-0.01%,33,8
91,88,Los Ángeles Azules,328,45295185,-0.04%,33,8
92,97,Doja Cat,225,45218582,0%,33,8
93,n/a,Imagine Dragons,418,44587985,n/a,33,8
94,98,Arcángel,261,44541712,-0.01%,33,8
95,n/a,Asha Bhosle,245,44532470,n/a,33,8
96,92,Badshah,373,44116139,-0.04%,33,8
97,91,KK,163,43647473,-0.07%,33,8
98,100,Drake,421,43634296,-0.03%,33,8
99,n/a,Yo Yo Honey Singh,328,43607136,n/a,33,8
100,n/a,Michael Jackson,444,43237685,n/a,33,8
