Rank,Previous Rank,Artist Name,Periods on Chart,Views,Growth,Week,Month
1,1,Alka Yagnik,398,387649703,0.02%,17,5
2,3,Udit Narayan,419,281518615,0%,17,5
3,4,Arijit Singh,428,266529020,0.02%,17,5
4,5,Kumar Sanu,394,217867322,0.01%,17,5
5,6,Shilpi Raj,174,179983121,-0.06%,17,5
6,2,Taylor Swift,428,173388197,-0.42%,17,5
7,7,Shreya Ghoshal,400,161737325,0.01%,17,5
8,9,Bad Bunny,393,148102337,0.04%,17,5
9,8,Khesari Lal Yadav,313,140947781,-0.10%,17,5
10,11,Lata Mangeshkar,411,130022132,0.03%,17,5
11,10,Peso Pluma,75,129955603,-0.02%,17,5
12,12,The Weeknd,414,118502082,-0.02%,17,5
13,13,KAROL G,346,114162388,-0.02%,17,5
14,14,Anuel AA,311,111179063,-0.02%,17,5
15,17,Fuerza Regida,112,101618967,0.03%,17,5
16,15,Sonu Nigam,384,101369291,-0.04%,17,5
17,16,Pawan Singh,331,97641018,-0.04%,17,5
18,22,Junior H,167,86790163,0.07%,17,5
19,18,Shakira,428,85188953,-0.01%,17,5
20,23,Natanael Cano,136,84744516,0.10%,17,5
21,19,Eminem,428,84541546,-0.02%,17,5
22,20,Feid,140,84032367,-0.01%,17,5
23,21,Ariana Grande,428,79358484,-0.04%,17,5
24,27,Carin Leon,169,78491898,0.04%,17,5
25,25,Rauw Alejandro,244,77448870,0.01%,17,5
26,29,Myke Towers,261,74016156,0.07%,17,5
27,28,Ozuna,399,72089253,-0.01%,17,5
28,26,Pritam,158,71697840,-0.05%,17,5
29,24,A. R. Rahman,176,71407949,-0.07%,17,5
30,n/a,NewJeans,92,70892515,n/a,17,5
31,30,Cris Mj,110,70829160,0.05%,17,5
32,32,Grupo Frontera,84,68206736,0.01%,17,5
33,36,Maluma,428,64923399,0.01%,17,5
34,34,BTS,428,64764927,-0.02%,17,5
35,37,Grupo Firme,191,63610066,0%,17,5
36,35,Daddy Yankee,428,63413372,-0.01%,17,5
37,38,J Balvin,428,63243454,0.01%,17,5
38,39,Rihanna,428,62364285,0.01%,17,5
39,33,Future,352,62099354,-0.06%,17,5
40,31,Neelkamal Singh,8,62020012,-0.08%,17,5
41,42,Anuradha Paudwal,354,61421030,0.02%,17,5
42,40,Justin Bieber,428,60976348,-0.01%,17,5
43,45,MC Ryan SP,131,60951313,0.03%,17,5
44,43,Maria Becerra,169,60125450,0%,17,5
45,41,Chris Brown,410,57846730,-0.05%,17,5
46,46,Ed Sheeran,428,57759683,-0.02%,17,5
47,50,SP Balasubrahmanyam,225,57144169,0.02%,17,5
48,44,BLACKPINK,350,56868287,-0.05%,17,5
49,51,Neha Kakkar,395,56785038,0.02%,17,5
50,60,Sunidhi Chauhan,341,56427903,0.08%,17,5
51,52,Anirudh Ravichander,178,55923267,0.02%,17,5
52,54,Jubin Nautiyal,260,55711034,0.03%,17,5
53,58,Kishore Kumar,281,55308237,0.06%,17,5
54,62,Drake,405,55221112,0.07%,17,5
55,55,Lady Gaga,311,54222023,0.01%,17,5
56,57,Romeo Santos,428,54104028,0.03%,17,5
57,49,Metro Boomin,75,53787121,-0.07%,17,5
58,53,Farruko,359,53514751,-0.01%,17,5
59,48,Sidhu Moose Wala,184,53198025,-0.09%,17,5
60,47,Khushi Kakkar,12,52255909,-0.11%,17,5
61,56,Travis Scott,273,52098900,-0.02%,17,5
62,70,Kavita Krishnamurthy,273,51476279,0.05%,17,5
63,67,Shivani Singh,61,51388321,0.03%,17,5
64,72,Luis R Conriquez,138,50888108,0.07%,17,5
65,64,Sameer Anjaan,16,50523926,-0.01%,17,5
66,61,B Praak,237,49153815,-0.05%,17,5
67,65,Doja Cat,209,49034080,-0.03%,17,5
68,79,Henrique & Juliano,353,48912061,0.06%,17,5
69,59,Dua Lipa,352,48840519,-0.06%,17,5
70,69,Lana Del Rey,179,48770650,-0.01%,17,5
71,78,David Guetta,415,48683944,0.04%,17,5
72,68,Diljit Dosanjh,191,48211531,-0.02%,17,5
73,74,Billie Eilish,302,48040663,0.01%,17,5
74,76,Los Temerarios,253,47815544,0.02%,17,5
75,63,Himesh Reshammiya,251,47590563,-0.07%,17,5
76,73,Bruno Mars,428,47529747,0%,17,5
77,n/a,SEVENTEEN,114,47423206,n/a,17,5
78,66,Xavi,26,47052811,-0.06%,17,5
79,77,Imagine Dragons,402,46992690,0.01%,17,5
80,86,Badshah,357,46413690,0.06%,17,5
81,n/a,Anitta,318,46378156,n/a,17,5
82,84,Maroon 5,426,45767004,0.02%,17,5
83,97,Ashish Yadav,12,45628131,0.09%,17,5
84,82,Linkin Park,426,45448985,0%,17,5
85,90,Vicente Fernández,296,45188278,0.05%,17,5
86,83,Coldplay,428,45151927,0%,17,5
87,91,Asha Bhosle,229,45041121,0.05%,17,5
88,87,Atif Aslam,325,45032660,0.04%,17,5
89,75,Arcángel,245,45021111,-0.04%,17,5
90,92,Sadhana Sargam,211,44488348,0.05%,17,5
91,81,Vishal Mishra,64,44455017,-0.03%,17,5
92,80,Beyoncé,427,44214912,-0.04%,17,5
93,95,Alan Walker,398,44102334,0.05%,17,5
94,n/a,Kendrick Lamar,218,43279569,n/a,17,5
95,94,Aventura,297,42816860,0.02%,17,5
96,96,Óscar Maydon,30,42605349,0.01%,17,5
97,89,Sech,266,42495133,-0.02%,17,5
98,85,Sia,413,42491888,-0.03%,17,5
99,93,Don Omar,297,42446430,0.01%,17,5
100,n/a,Post Malone,372,42185196,n/a,17,5
